iter	RMSE
0	15.10743536
1	14.62837782
2	14.19450446
3	13.79819714
4	13.39733053
5	13.0516133
6	12.72654519
7	12.39576084
8	12.09599361
9	11.8023936
10	11.54055184
11	11.30313205
12	11.05864642
13	10.83305496
14	10.62369499
15	10.42789228
16	10.2330843
17	10.07491557
18	9.924804753
19	9.762536327
20	9.598442639
21	9.47074093
22	9.343363145
23	9.20367154
24	9.081271409
25	8.971334926
26	8.851219585
27	8.748796584
28	8.650392755
29	8.556572147
30	8.462272357
31	8.377891365
32	8.299581044
33	8.214074497
34	8.138616687
35	8.076694934
36	8.010240193
37	7.934807356
38	7.870705331
39	7.811414953
40	7.752505164
41	7.689680864
42	7.639392209
43	7.584021938
44	7.53339418
45	7.475330967
46	7.435412857
47	7.388123865
48	7.337771018
49	7.297569732
50	7.232664089
51	7.196366039
52	7.150877339
53	7.118316989
54	7.070837946
55	7.039543531
56	6.990223959
57	6.955424265
58	6.925569609
59	6.891935325
60	6.86341449
61	6.82977426
62	6.788227765
63	6.759909581
64	6.726905948
65	6.696298535
66	6.673055713
67	6.646779604
68	6.624647563
69	6.60519508
70	6.5918735
71	6.575024353
72	6.556099055
73	6.532503289
74	6.510138324
75	6.480197595
76	6.439011486
77	6.399879245
78	6.373686251
79	6.34556775
80	6.324431694
81	6.307429861
82	6.270878867
83	6.254575762
84	6.215638942
85	6.196065619
86	6.174476623
87	6.143903657
88	6.123643007
89	6.115049334
90	6.086763888
91	6.057051759
92	6.04430027
93	6.024414099
94	6.004394366
95	5.990169699
96	5.974078597
97	5.950813981
98	5.94047281
99	5.909525445
100	5.884302532
101	5.863316104
102	5.853804777
103	5.838964298
104	5.815910099
105	5.801472633
106	5.78554204
107	5.764661221
108	5.756120043
109	5.738518412
110	5.72693183
111	5.711316799
112	5.687141498
113	5.671043137
114	5.653407489
115	5.634952579
116	5.633449901
117	5.625408167
118	5.608792578
119	5.595940998
120	5.584881772
121	5.572004887
122	5.56228791
123	5.547836537
124	5.530883035
125	5.50186021
126	5.48380664
127	5.475768856
128	5.464735483
129	5.443363254
130	5.428892557
131	5.410318703
132	5.392220356
133	5.375624214
134	5.369421557
135	5.361894974
136	5.342974788
137	5.330194221
138	5.326549876
139	5.300565225
140	5.288089496
141	5.282173537
142	5.263640642
143	5.253411706
144	5.243269548
145	5.236114502
146	5.218104966
147	5.199465114
148	5.186522642
149	5.175448124
150	5.158277395
151	5.140346173
152	5.124833404
153	5.116042042
154	5.10585208
155	5.095306506
156	5.078361146
157	5.071788261
158	5.055603054
159	5.04456994
160	5.035356556
161	5.029553539
162	5.016049096
163	5.001082395
164	4.989647485
165	4.980934102
166	4.96653961
167	4.950072146
168	4.940101017
169	4.934738755
170	4.922466004
171	4.914292471
172	4.898460702
173	4.890586243
174	4.882217328
175	4.876708918
