iter	Passed	Remaining
0	2	2345
1	24	12172
2	26	8695
3	29	7411
4	31	6317
5	34	5646
6	40	5722
7	42	5218
8	45	5022
9	47	4735
10	50	4514
11	57	4741
12	62	4773
13	66	4665
14	83	5459
15	84	5224
16	87	5082
17	90	4926
18	92	4760
19	94	4609
20	98	4570
21	101	4504
22	102	4373
23	108	4402
24	111	4364
25	116	4354
26	117	4249
27	122	4240
28	124	4155
29	126	4079
30	133	4174
31	151	4594
32	163	4781
33	165	4705
34	167	4625
35	173	4640
36	192	4998
37	194	4924
38	196	4844
39	205	4938
40	209	4909
41	212	4848
42	214	4765
43	220	4789
44	222	4716
45	223	4639
46	227	4609
47	229	4547
48	233	4525
49	237	4506
50	238	4441
51	241	4409
52	243	4358
53	246	4311
54	252	4340
55	254	4283
56	256	4246
57	263	4279
58	264	4225
59	266	4182
60	268	4136
61	270	4095
62	275	4091
63	277	4058
64	279	4014
65	280	3969
66	282	3940
67	284	3899
68	286	3870
69	291	3875
70	294	3851
71	295	3812
72	298	3794
73	300	3761
74	301	3724
75	305	3714
76	309	3706
77	310	3673
78	314	3661
79	316	3634
80	318	3608
81	324	3631
82	326	3602
83	327	3571
84	331	3566
85	332	3536
86	334	3514
87	338	3512
88	341	3490
89	342	3463
90	346	3462
91	352	3479
92	354	3458
93	356	3431
94	358	3416
95	360	3393
96	362	3370
97	366	3373
98	369	3366
99	372	3348
100	374	3331
101	380	3353
102	382	3329
103	383	3305
104	386	3297
105	388	3275
106	389	3252
107	394	3262
108	396	3241
109	398	3222
110	399	3201
111	401	3180
112	402	3163
113	404	3146
114	409	3151
115	411	3133
116	412	3112
117	415	3102
118	416	3085
119	418	3069
120	420	3055
121	426	3067
122	427	3049
123	429	3032
124	431	3020
125	433	3007
126	434	2990
127	436	2971
128	441	2982
129	443	2966
130	445	2953
131	446	2937
132	448	2922
133	450	2909
134	453	2905
135	457	2905
136	459	2892
137	460	2879
138	462	2863
139	463	2848
140	465	2838
141	467	2823
142	469	2812
143	471	2801
144	472	2786
145	473	2771
146	475	2757
147	476	2742
148	477	2729
149	480	2720
150	481	2707
151	482	2694
152	485	2688
153	487	2676
154	488	2662
155	489	2649
156	490	2635
157	492	2623
158	493	2611
159	495	2602
160	496	2589
161	498	2577
162	500	2567
163	501	2557
164	503	2546
165	504	2534
166	505	2522
167	506	2510
168	508	2499
169	509	2488
170	511	2478
171	512	2467
172	513	2456
173	516	2451
174	517	2441
175	519	2430
176	520	2419
177	521	2409
178	523	2399
179	524	2389
180	526	2381
181	527	2371
182	528	2361
183	531	2357
184	532	2347
185	534	2338
186	535	2328
187	536	2319
188	538	2309
189	539	2300
190	541	2293
191	542	2284
192	544	2275
193	545	2266
194	549	2269
195	551	2260
196	552	2251
197	553	2242
198	555	2234
199	556	2227
200	558	2219
201	559	2211
202	561	2203
203	563	2200
204	565	2191
205	566	2183
206	567	2174
207	569	2166
208	570	2158
209	571	2151
210	573	2144
211	574	2136
212	576	2128
213	578	2125
214	580	2118
215	581	2110
216	582	2102
217	583	2094
218	585	2087
219	586	2080
220	588	2074
221	589	2067
